eventid,nhostkid,nhours,ndays,hostkidoutcome_txt,nreleased
199907200007,64.0,,2.0,Hostage(s) released by perpetrators,64.0
199907240004,2.0,,4.0,,
199907280003,1.0,,1.0,Hostage(s) released by perpetrators,1.0
199907300004,16.0,,10.0,Hostage(s) released by perpetrators,14.0
199908030001,2.0,,,Hostage(s) released by perpetrators,2.0
199908040003,1.0,,,Hostage(s) released by perpetrators,1.0
199908040006,30.0,,7.0,Hostage(s) released by perpetrators,230.0
199908040007,1.0,,,Hostage(s) released by perpetrators,1.0
199908050006,1.0,,,,1.0
199908060004,4.0,,,,0.0
199908110003,1.0,,,,
199908110006,7.0,,2.0,Hostage(s) released by perpetrators,7.0
199908150005,1.0,,35.0,Hostage(s) released by perpetrators,1.0
199908200001,1.0,,9.0,Hostage(s) killed (not during rescue attempt),0.0
199908200002,2.0,,,,0.0
199908220004,2.0,,12.0,Hostage(s) released by perpetrators,2.0
199908230004,7.0,,64.0,Hostage(s) released by perpetrators,7.0
199908280004,1.0,,,,
199908310003,168.0,,,Combination,81.0
199909060002,3.0,,11.0,Hostage(s) released by perpetrators,3.0
199909060003,,,,,
199909060004,16.0,,,,0.0
199909070002,30.0,,,,
199909120001,12.0,,,,
199909160004,10.0,,1.0,Combination,6.0
199909180007,6.0,,,,
199909210001,2.0,,,,
199909280005,3.0,,22.0,Hostage(s) released by perpetrators,3.0
199909290002,2.0,,,,
199910010002,38.0,,1.0,Hostage(s) released by perpetrators,38.0
199910040002,56.0,,,,
199910040003,,,,Successful Rescue,
199910060016,1.0,,3.0,Hostage(s) released by perpetrators,1.0
199910080005,,,3.0,Hostage(s) released by perpetrators,
199910130001,7.0,,3.0,Hostage(s) released by perpetrators,7.0
199910130002,2.0,,,Combination,1.0
199910150001,,,3.0,Successful Rescue,
199910260001,,,,Successful Rescue,
199910260004,1.0,,,,
199910260005,3.0,,3.0,Hostage(s) released by perpetrators,3.0
199910270003,50.0,,1.0,Hostage(s) released by perpetrators,50.0
199910300003,3.0,,,,
199911010001,1.0,,450.0,,0.0
199911010003,14.0,,2.0,Hostage(s) released by perpetrators,14.0
199911040005,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
199911040008,7.0,,4.0,Hostage(s) killed (not during rescue attempt),0.0
199911080001,2.0,,4.0,Hostage(s) released by perpetrators,2.0
199911100002,8.0,,4.0,Hostage(s) released by perpetrators,8.0
199911110003,3.0,8.0,,Hostage(s) escaped (not during rescue attempt),3.0
199911130004,18.0,,,,
199911140003,10.0,,,,
199911140008,100.0,,,Hostage(s) released by perpetrators,100.0
199911170003,1.0,,,,
199911170004,1.0,,,,
199911190002,10.0,,,,
199911200003,1.0,,70.0,Hostage(s) released by perpetrators,1.0
199912230001,1.0,,21.0,Hostage(s) released by perpetrators,1.0
199912240002,189.0,,8.0,Hostage(s) released by perpetrators,188.0
199912310002,1.0,,,,
200001010002,20.0,,,,
200001020002,1.0,,,,
200001040005,40.0,,,,
200001110002,6.0,,,,
200001120004,2.0,,,,
200001130001,30.0,,,,
200001160004,4.0,,,,
200001170005,4.0,,2.0,Hostage(s) released by perpetrators,4.0
200001240001,750.0,22.0,,Successful Rescue,750.0
200001250005,1.0,,17.0,Hostage(s) released by perpetrators,1.0
200001270006,1.0,,,,
200001280006,19.0,,1.0,Combination,11.0
200001290001,4.0,,,,
200001290002,29.0,,,Combination,9.0
200001290006,2.0,,,,
200001310002,3.0,,,,
200001310003,3.0,,,,
200002010001,8.0,,,,
200002030005,4.0,,8.0,Hostage(s) released by perpetrators,4.0
200002060002,151.0,,4.0,Combination,151.0
200002140002,,,,,
200002150001,4.0,,,Combination,1.0
200002150002,1.0,,,,
200002170002,6.0,,,,
200002180005,,,,,
200002180007,1.0,,,,
200002220004,,,,Hostage(s) released by perpetrators,
200002260002,1.0,,,,
200002270007,1.0,,1.0,Successful Rescue,1.0
200003010003,1.0,,4.0,Hostage(s) released by perpetrators,1.0
200003010007,4.0,2.0,,Hostage(s) released by perpetrators,4.0
200003020001,1.0,,,,
