eventid,nhostkid,nhours,ndays,hostkidoutcome_txt,nreleased
200907070024,5.0,,,,
200907090020,1.0,,,Hostage(s) released by perpetrators,1.0
200907100009,2.0,,,,
200907100019,1.0,,,Hostage(s) released by perpetrators,1.0
200907100020,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
200907110008,,,,Hostage(s) released by perpetrators,
200907130010,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
200907140009,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
200907140020,2.0,,1282.0,Combination,0.0
200907150020,1.0,2.0,,Hostage(s) killed (not during rescue attempt),0.0
200907160012,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
200907170013,1.0,,,,
200907180013,3.0,,77.0,Hostage(s) released by perpetrators,3.0
200907200018,2.0,,,Hostage(s) released by perpetrators,2.0
200907210013,2.0,,,,
200907210024,2.0,,,,
200907210025,3.0,,,Combination,2.0
200907220017,1.0,,6.0,Hostage(s) killed (not during rescue attempt),0.0
200907220024,1.0,,,,
200907230019,,,,,
200907240006,1.0,,,,
200907240007,3.0,,1.0,Combination,3.0
200907260013,1.0,,,,
200907300006,19.0,,19.0,Combination,2.0
200907300010,2.0,,2.0,Hostage(s) killed (not during rescue attempt),0.0
200907300017,2.0,,,,
200907300026,3.0,,,,
200907310004,10.0,,,,
200908030001,2.0,,,,
200908050005,12.0,,,,
200908050013,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
200908060005,100.0,,8.0,Hostage(s) killed (not during rescue attempt),0.0
200908070001,2.0,,1.0,Hostage(s) released by perpetrators,2.0
200908080002,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
200908080004,1.0,,18.0,Successful Rescue,1.0
200908090017,3.0,,,Hostage(s) released by perpetrators,3.0
200908090018,4.0,,,Hostage(s) released by perpetrators,4.0
200908100022,2.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
200908110005,3.0,,,Hostage(s) killed (not during rescue attempt),0.0
200908110014,3.0,,,,
200908120001,5.0,,1.0,Hostage(s) released by perpetrators,5.0
200908120009,10.0,,,,
200908120017,15.0,,,,
200908140012,2.0,,2.0,Hostage(s) released by perpetrators,1.0
200908140016,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
200908170007,10.0,,2.0,Successful Rescue,10.0
200908170017,1.0,,,Hostage(s) released by perpetrators,1.0
200908200045,5.0,,,Hostage(s) killed (not during rescue attempt),0.0
200908200046,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
200908220010,2.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
200908230002,1.0,,7.0,Hostage(s) killed (not during rescue attempt),0.0
200908250005,3.0,3.0,,Hostage(s) released by perpetrators,3.0
200908260010,1.0,,2.0,Hostage(s) killed (not during rescue attempt),0.0
200908290006,6.0,,,,
200908290017,2.0,,,,
200908310002,1.0,,1.0,Successful Rescue,1.0
200909010013,1.0,,,,
200909020022,2.0,,,,
200909030011,20.0,,,,
200909030012,5.0,,,,
200909050011,2.0,,4.0,Combination,1.0
200909060005,1.0,,1.0,Successful Rescue,1.0
200909060012,5.0,,,Hostage(s) killed (not during rescue attempt),0.0
200909060013,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
200909070011,2.0,,,,
200909080002,1.0,,,,
200909100007,5.0,,1.0,Hostage(s) released by perpetrators,5.0
200909100019,1.0,,,,
200909100024,3.0,,,Hostage(s) released by perpetrators,3.0
200909110005,2.0,,1.0,Successful Rescue,2.0
200909130001,1.0,,,,
200909170011,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
200909170012,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
200909180013,1.0,,,,
200909220006,9.0,,,,
200909230012,2.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
200909250002,12.0,,,,
200909280017,4.0,,,,
200909280022,5.0,,,,
200909280023,4.0,,,,
200909280024,4.0,,,,
200909280026,6.0,,,Combination,3.0
200909290007,6.0,,,Combination,4.0
200909300002,1.0,,7.0,Hostage(s) killed (not during rescue attempt),0.0
200909300004,3.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
200909300010,1.0,,,Hostage(s) escaped (not during rescue attempt),1.0
200909300015,1.0,,,Hostage(s) escaped (not during rescue attempt),1.0
200909300018,2.0,,,Combination,1.0
200910010004,1.0,,,,
200910010008,2.0,,,,
200910010010,1.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
200910030007,1.0,,,Successful Rescue,1.0
200910050014,5.0,,,,
200910060011,2.0,,,,
200910060012,4.0,,,,
200910090005,4.0,,,,0.0
200910100014,15.0,,1.0,Successful Rescue,15.0
200910110016,12.0,,14.0,Combination,1.0
200910120023,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
200910120024,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
200910130002,200.0,,,,
200910130019,1.0,2.0,,Hostage(s) released by perpetrators,1.0
200910150020,,,,Successful Rescue,
200910160007,1.0,,,,
200910170005,15.0,,,,
200910180009,2.0,,2.0,Hostage(s) released by perpetrators,2.0
200910190010,1.0,,21.0,Hostage(s) killed (not during rescue attempt),0.0
200910190011,6.0,,,Combination,2.0
200910190015,1.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
200910210015,7.0,,4.0,Hostage(s) released by perpetrators,7.0
200910210024,21.0,,,,
200910220003,5.0,,,Hostage(s) released by perpetrators,5.0
200910230009,2.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
200910250002,3.0,,,,
200910270003,13.0,,20.0,Hostage(s) escaped (not during rescue attempt),13.0
200910270004,4.0,,,Hostage(s) killed (not during rescue attempt),0.0
200910270005,2.0,,,,1.0
200910270022,1201.0,5.0,,Hostage(s) released by perpetrators,1201.0
200910280002,1.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
200910280023,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
200910290006,1.0,,,,
200910300012,2.0,,3.0,Hostage(s) released by perpetrators,2.0
200910310001,1.0,4.0,,Successful Rescue,1.0
200910310004,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
200910310016,1.0,,,,
200911010011,1.0,,,,
200911010017,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
200911020015,30.0,,,Successful Rescue,30.0
200911030001,,,,,
200911060012,1.0,,228.0,Hostage(s) released by perpetrators,1.0
200911100008,3.0,,108.0,Combination,2.0
200911100013,8.0,,,Hostage(s) killed (not during rescue attempt),0.0
200911100014,2.0,,1.0,Hostage(s) released by perpetrators,2.0
200911100017,1.0,,89.0,Hostage(s) released by perpetrators,1.0
200911100018,2.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
200911130014,1.0,,,Hostage(s) released by perpetrators,1.0
200911150003,2.0,,8.0,Combination,1.0
200911150014,4.0,,,Combination,2.0
200911160013,6.0,,,Hostage(s) killed (not during rescue attempt),0.0
200911180008,4.0,,,,
200911180016,3.0,,,,
200911190018,2.0,,,Attempted Rescue,0.0
200911210008,1.0,,,,
200911220008,2.0,,122.0,Hostage(s) released by perpetrators,2.0
200911250002,4.0,,,,
200911250008,1.0,,89.0,Hostage(s) released by perpetrators,1.0
200911290015,4.0,,267.0,Hostage(s) released by perpetrators,4.0
200912020012,1.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
200912030007,1.0,,,,
200912040011,3.0,,,,
200912040012,3.0,,,,
200912140002,6.0,,,,
200912150025,40.0,,,,
200912170002,1.0,,,,
200912170009,3.0,,,Hostage(s) killed (not during rescue attempt),0.0
200912170016,3.0,,,,
200912180002,3.0,,,Combination,2.0
200912180006,1.0,,,Hostage(s) released by perpetrators,1.0
200912190005,3.0,,,Hostage(s) released by perpetrators,3.0
200912240020,1.0,,,Hostage(s) released by perpetrators,1.0
200912240022,1.0,,2.0,Hostage(s) killed (not during rescue attempt),0.0
200912250007,18.0,,,,
200912250023,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
200912260013,,,,Hostage(s) released by perpetrators,
200912260018,5.0,,,,
200912270006,5.0,,,,
200912280009,1.0,1.0,,Hostage(s) released by perpetrators,1.0
200912290010,1.0,,,,
200912300013,4.0,,546.0,Hostage(s) released by perpetrators,4.0
201001050004,1.0,,4.0,Hostage(s) released by perpetrators,1.0
201001070003,1.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
201001070004,1.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
201001100004,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201001160003,6.0,,3.0,Hostage(s) released by perpetrators,4.0
201001170004,2.0,,,,
201001180021,2.0,,,Hostage(s) released by perpetrators,2.0
201001190004,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
201001230002,3.0,,,,
201001230004,3.0,,1.0,Hostage(s) released by perpetrators,
201001240006,3.0,,,,0.0
201001250003,2.0,,1.0,Combination,
201001250005,3.0,,,,
201001250007,1.0,,4.0,Hostage(s) killed (not during rescue attempt),0.0
201001250019,1.0,,1.0,Hostage(s) killed (not during rescue attempt),
201001250022,1.0,,,,
201001270012,1.0,,,Hostage(s) killed (not during rescue attempt),
201001290016,1.0,,,Hostage(s) killed (not during rescue attempt),
201001310003,1.0,,,,
201001310006,2.0,,,Combination,1.0
201002020008,1.0,,,Successful Rescue,1.0
201002020009,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201002020027,,,,,0.0
201002020030,4.0,,,,0.0
201002030013,1.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
201002030016,2.0,,,,
201002040017,1.0,,,,0.0
201002060005,3.0,,,,
201002060006,5.0,,,Combination,0.0
201002060010,1.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
201002060022,1.0,,,,0.0
201002070019,2.0,,,Combination,2.0
201002080005,2.0,,4.0,Hostage(s) released by perpetrators,2.0
201002090022,1.0,,85.0,Hostage(s) released by perpetrators,1.0
201002100015,,,,Hostage(s) killed (not during rescue attempt),0.0
201002130012,1.0,,6.0,Hostage(s) killed (not during rescue attempt),0.0
201002130014,1.0,,13.0,Hostage(s) released by perpetrators,1.0
201002130019,1.0,,6.0,Hostage(s) released by perpetrators,1.0
201002150005,10.0,,,,0.0
201002150022,15.0,,2.0,Successful Rescue,
201002170011,1.0,,,,0.0
201002170012,1.0,,,,0.0
201002170028,12.0,,,,
201002180008,12.0,,,,
201002180009,4.0,,147.0,Combination,3.0
201002190001,40.0,,,Hostage(s) released by perpetrators,2.0
201002190028,1.0,,75.0,Hostage(s) released by perpetrators,1.0
201002200003,,,,,
201002200004,,,,,
201002200005,,,,,
201002210016,1.0,,9.0,Hostage(s) released by perpetrators,1.0
201002210020,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
201002210029,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201002210030,6.0,,,,
201002210031,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201002230009,3.0,,,,
201002240012,2.0,,,,
201002240013,2.0,,19.0,Hostage(s) released by perpetrators,2.0
201002260012,,,,,
201002280005,1.0,,,,0.0
201003010001,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201003020015,3.0,,,Combination,0.0
201003050002,64.0,,1.0,Combination,62.0
201003050003,1.0,,4.0,Hostage(s) released by perpetrators,1.0
201003060006,1.0,,,,0.0
201003060019,1.0,2.0,,Successful Rescue,1.0
201003070051,1.0,,,Hostage(s) released by perpetrators,1.0
201003110020,3.0,,4.0,Hostage(s) released by perpetrators,3.0
201003120007,2.0,,58.0,Hostage(s) released by perpetrators,2.0
201003120016,7.0,,6.0,Hostage(s) released by perpetrators,7.0
201003140015,2.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
201003160002,1.0,6.0,,Hostage(s) released by perpetrators,1.0
201003160009,1.0,,4.0,Hostage(s) released by perpetrators,1.0
201003160021,2.0,,1.0,Hostage(s) released by perpetrators,2.0
201003180011,3.0,,2.0,Hostage(s) released by perpetrators,3.0
201003180022,1.0,,2.0,Hostage(s) released by perpetrators,1.0
201003190014,2.0,,,Hostage(s) released by perpetrators,2.0
201003200001,5.0,5.0,,Hostage(s) released by perpetrators,5.0
201003200005,8.0,,,Combination,7.0
201003200022,6.0,,,,
201003210002,6.0,,,Combination,0.0
201003210010,4.0,,,,0.0
201003210011,,,,,0.0
201003210012,50.0,,,,0.0
201003220008,6.0,,,Hostage(s) released by perpetrators,6.0
201003220014,1.0,,,,
201003230007,1.0,,,,0.0
201003230023,5.0,,,,0.0
201003240004,6.0,,3.0,Hostage(s) killed (not during rescue attempt),0.0
201003240008,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201003240009,12.0,3.0,,Hostage(s) released by perpetrators,12.0
201003250006,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201003250009,3.0,,305.0,Combination,2.0
201003270006,1.0,,5.0,Hostage(s) released by perpetrators,1.0
201003270017,1.0,,,,0.0
201003280020,2.0,,,,0.0
201003290012,4.0,,,Hostage(s) killed (not during rescue attempt),0.0
201003300009,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201004020006,2.0,,21.0,Hostage(s) killed (not during rescue attempt),0.0
201004020007,1.0,,155.0,Hostage(s) released by perpetrators,1.0
201004050002,1.0,,3.0,Hostage(s) released by perpetrators,1.0
201004060004,1.0,,,,0.0
201004070013,1.0,,,,0.0
201004070020,1.0,,,,
201004090005,4.0,,,,0.0
201004090009,2.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
201004090011,8.0,,7.0,Hostage(s) released by perpetrators,8.0
201004100012,4.0,,,,
201004110008,4.0,,15.0,Hostage(s) released by perpetrators,4.0
201004110009,1.0,,,Hostage(s) escaped (not during rescue attempt),1.0
201004110013,1.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
201004120002,2.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
201004120003,1.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
201004140003,,0.0,,Hostage(s) escaped (not during rescue attempt),1.0
201004140016,1.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
201004150003,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201004150009,5.0,,,,0.0
201004160004,1.0,,,Hostage(s) escaped (not during rescue attempt),1.0
201004170002,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201004180003,2.0,,,,0.0
201004190006,1.0,6.0,,Hostage(s) escaped (not during rescue attempt),1.0
201004190009,1.0,,,,0.0
201004200017,5.0,,,,0.0
201004200021,8.0,,,,0.0
201004210003,2.0,,94.0,Combination,0.0
201004210007,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201004220003,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201004240001,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201004240008,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201004260004,2.0,,,Combination,0.0
201004280005,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201005010006,1.0,,2.0,Hostage(s) killed (not during rescue attempt),0.0
201005010008,1.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
201005030012,3.0,,,Combination,0.0
201005040004,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201005040006,12.0,,,Combination,0.0
201005040014,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201005050011,7.0,,12.0,Hostage(s) released by perpetrators,7.0
201005060008,4.0,,12.0,Combination,3.0
201005060010,1.0,,,,
201005100028,45.0,,3.0,Successful Rescue,45.0
201005120004,1.0,,81.0,Hostage(s) released by perpetrators,1.0
201005120021,1.0,,,,
201005130018,4.0,,,Hostage(s) killed (not during rescue attempt),0.0
201005150016,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201005150020,4.0,,,,0.0
201005150021,1.0,,6.0,Hostage(s) killed (not during rescue attempt),0.0
201005150022,14.0,,2.0,Hostage(s) released by perpetrators,11.0
201005150023,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201005160012,6.0,,3.0,Hostage(s) released by perpetrators,6.0
201005170007,1.0,,1.0,Hostage(s) escaped (not during rescue attempt),1.0
201005180011,6.0,,,,
201005180017,3.0,,108.0,Hostage(s) released by perpetrators,3.0
201005190003,31.0,,,,0.0
201005190010,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201005200002,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
201005210018,1.0,4.0,,Hostage(s) killed (not during rescue attempt),0.0
201005220009,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
201005230005,7.0,,,Combination,2.0
201005230009,7.0,,2.0,Combination,6.0
201005230010,7.0,,2.0,Combination,6.0
201005230011,6.0,,2.0,Combination,5.0
201005230015,1.0,,3.0,Hostage(s) killed (not during rescue attempt),0.0
201005240001,3.0,,,Combination,1.0
201005240005,3.0,,,,0.0
201005240012,2.0,,,,0.0
201005250001,3.0,,1.0,Hostage(s) released by perpetrators,3.0
201005260009,4.0,,,Combination,3.0
201005260010,1.0,,11.0,Hostage(s) killed (not during rescue attempt),0.0
201005270009,3.0,,,,0.0
201005270025,3.0,,10.0,Hostage(s) killed (not during rescue attempt),0.0
201005280001,,4.0,,,
201005280002,,,,,0.0
201005280003,500.0,,,Successful Rescue,0.0
201005290002,1.0,,,,0.0
201005310014,,,,Combination,
201006010008,1.0,,38.0,Hostage(s) released by perpetrators,1.0
201006010010,1.0,,,,
201006030011,6.0,,3.0,Combination,
201006060005,2.0,,,,
201006060006,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
201006060013,1.0,,,,
201006080006,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201006080013,1.0,,19.0,Hostage(s) killed (not during rescue attempt),0.0
201006080014,1.0,,,Hostage(s) killed (not during rescue attempt),
201006080017,1.0,,,,
201006110004,5.0,,,Combination,4.0
201006110007,4.0,,,Hostage(s) killed (not during rescue attempt),
201006110008,3.0,,,,
201006110012,3.0,,,Combination,
201006130001,1.0,,,,
201006130014,30.0,,,,
201006130015,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201006130016,10.0,,,,
201006140010,3.0,,,,0.0
201006150004,1.0,,,Hostage(s) killed (not during rescue attempt),
201006160011,1.0,,,,
201006160014,1.0,,,,
201006160017,1.0,,,Hostage(s) killed (not during rescue attempt),
201006230003,2.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
201006240002,11.0,,,Hostage(s) killed (not during rescue attempt),0.0
201006240004,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201006240005,1.0,,,,
201006250001,2.0,,,,0.0
201006270025,4.0,,,,0.0
201006280016,1.0,,,,
201006290012,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201006300001,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201006300002,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201007020004,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201007030009,1.0,,8.0,Hostage(s) released by perpetrators,1.0
201007040005,6.0,,1.0,Hostage(s) killed (not during rescue attempt),6.0
201007060011,1.0,,,Hostage(s) released by perpetrators,1.0
201007060012,1.0,,,Hostage(s) released by perpetrators,1.0
201007070015,1.0,,10.0,Hostage(s) released by perpetrators,1.0
201007070016,2.0,,,,
201007070018,4.0,,,,
201007070020,1.0,,4.0,Hostage(s) killed (not during rescue attempt),0.0
201007080005,1.0,,15.0,Hostage(s) released by perpetrators,1.0
201007090003,3.0,,14.0,Hostage(s) released by perpetrators,3.0
201007090006,3.0,,2.0,Hostage(s) released by perpetrators,3.0
201007100007,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
201007110027,3.0,,3.0,Combination,0.0
201007120003,2.0,,1.0,Combination,0.0
201007130006,5.0,,,,
201007130007,5.0,,,,
201007130017,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201007140010,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201007150012,6.0,,,Hostage(s) released by perpetrators,1.0
201007160002,1.0,,,,
201007180016,1.0,,,,
201007190013,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
201007200006,1.0,,7.0,Hostage(s) released by perpetrators,1.0
201007210013,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201007220004,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201007220011,5.0,,3.0,Combination,5.0
201007220013,1.0,,,,
201007230009,2.0,,5.0,Combination,0.0
201007240006,1.0,,13.0,Hostage(s) killed (not during rescue attempt),0.0
201007240009,1.0,,8.0,Hostage(s) released by perpetrators,1.0
201007250005,4.0,,4.0,Combination,4.0
201007260001,1.0,,,,
201007260015,9.0,,3.0,Hostage(s) released by perpetrators,9.0
201007270005,2.0,,,,
201007290002,105.0,2.0,,Successful Rescue,105.0
201007300003,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201007310001,1.0,,,,
201008010008,1.0,1.0,,Hostage(s) released by perpetrators,1.0
201008030008,1.0,0.0,,Hostage(s) released by perpetrators,1.0
201008040004,2.0,,21.0,Combination,1.0
201008040006,1.0,,1.0,Hostage(s) escaped (not during rescue attempt),0.0
201008050016,,,,Hostage(s) released by perpetrators,
201008080004,2.0,,,,
201008080005,2.0,,,Combination,1.0
201008080007,1.0,,,,
201008100009,2.0,,6.0,Combination,1.0
201008120008,1.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
201008140006,5.0,,1.0,Combination,5.0
201008140011,2.0,,,,
201008150012,1.0,,,,
201008150013,1.0,,3.0,Hostage(s) killed (not during rescue attempt),0.0
201008160001,1.0,,3.0,Hostage(s) released by perpetrators,1.0
201008180005,1.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
201008210004,2.0,,,,
201008220016,1.0,,,,
201008230006,6.0,,,Combination,5.0
201008230007,6.0,,,Hostage(s) released by perpetrators,6.0
201008230017,2.0,,,Hostage(s) released by perpetrators,2.0
201008240004,1.0,,7.0,Hostage(s) released by perpetrators,1.0
201008240006,2.0,12.0,,Hostage(s) killed (not during rescue attempt),0.0
201008240008,1.0,,,,
201008250007,11.0,,,Combination,0.0
201008260006,1.0,,,,
201008270005,1.0,,,,
201008270007,2.0,,,,
201008280002,10.0,,,Combination,0.0
201008290001,4.0,,8.0,Combination,3.0
201008290002,4.0,,2.0,Hostage(s) released by perpetrators,4.0
201008290007,1.0,,5.0,Hostage(s) released by perpetrators,1.0
201008290008,3.0,,3.0,Hostage(s) released by perpetrators,3.0
201008300003,5.0,,,Combination,3.0
201008310010,1.0,,,,
201009010008,2.0,,23.0,Hostage(s) released by perpetrators,2.0
201009010016,6.0,,,,
201009010019,1.0,,,,
201009010022,3.0,4.0,0.0,Successful Rescue,3.0
201009020003,28.0,,1.0,Hostage(s) released by perpetrators,
201009030015,2.0,,3.0,Hostage(s) released by perpetrators,2.0
201009040010,,,,,
201009040012,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
201009040018,18.0,,,,
201009040019,,,,,
201009050012,1.0,,,,
201009050013,4.0,,1.0,Combination,3.0
201009060008,4.0,,,Hostage(s) released by perpetrators,4.0
201009070017,1.0,,,,
201009070022,2.0,,1451.0,Hostage(s) released by perpetrators,2.0
201009070025,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201009100011,3.0,,,,0.0
201009110010,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201009130015,2.0,,1.0,Hostage(s) released by perpetrators,2.0
201009140004,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201009140009,3.0,,,,
201009150021,2.0,,,,
201009150022,4.0,,8.0,Hostage(s) released by perpetrators,1.0
201009160004,18.0,,3.0,Hostage(s) released by perpetrators,18.0
201009160010,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201009160011,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201009160014,6.0,,,,
201009160020,7.0,,1129.0,Hostage(s) released by perpetrators,7.0
201009170007,1.0,,,,
201009170008,1.0,,,,
201009170009,5.0,,,,0.0
201009180005,2.0,,,,
201009180014,3.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
201009180070,5.0,,,,0.0
201009180076,1.0,,,,0.0
201009180083,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201009180085,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201009180097,2.0,,,,
201009190018,1.0,,2.0,Successful Rescue,0.0
201009190027,7.0,,11.0,Combination,4.0
201009200002,2.0,,7.0,Hostage(s) released by perpetrators,2.0
201009200013,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201009220007,2.0,,,Combination,0.0
201009230009,7.0,,1.0,Hostage(s) released by perpetrators,7.0
201009250004,1.0,,4.0,Hostage(s) killed (not during rescue attempt),0.0
201009260002,4.0,,15.0,Combination,3.0
201009260003,1.0,,,,
201009260030,1.0,,,,
201009270004,5.0,,,,
201009290014,3.0,,,Combination,1.0
201010010003,17.0,,,,
201010020010,10.0,,,,
201010030009,5.0,,,,0.0
201010060003,1.0,,,Hostage(s) released by perpetrators,1.0
201010060004,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201010060007,24.0,,,Hostage(s) released by perpetrators,24.0
201010070003,1.0,,,,
201010080004,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201010090011,2.0,3.0,,Combination,1.0
201010100004,1.0,,,,
201010110014,2.0,,7.0,Hostage(s) released by perpetrators,2.0
201010130001,1.0,,15.0,Hostage(s) released by perpetrators,1.0
201010130012,,,,Successful Rescue,1.0
201010140006,3.0,24.0,,Hostage(s) released by perpetrators,3.0
201010140013,2.0,,,,
201010170010,17.0,,4.0,Hostage(s) released by perpetrators,17.0
201010190007,,1.0,,Successful Rescue,
201010190011,1.0,,2.0,Hostage(s) killed (not during rescue attempt),0.0
201010210012,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201010210013,1.0,,,,0.0
201010220003,5.0,,,Combination,3.0
201010220004,1.0,,9.0,Hostage(s) killed (not during rescue attempt),0.0
201010230013,2.0,,,,0.0
201010240001,5.0,,7.0,Hostage(s) released by perpetrators,5.0
201010240002,1.0,,,,0.0
201010250016,2.0,,38.0,Hostage(s) released by perpetrators,2.0
201010250020,2.0,,24.0,Hostage(s) killed (not during rescue attempt),0.0
201010260002,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201010260004,2.0,,,Combination,2.0
201010270017,2.0,,7.0,Hostage(s) killed (not during rescue attempt),2.0
201010280007,5.0,,,Combination,
201010290005,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
201010300011,1.0,,1.0,,
201010310002,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
201010310004,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201010310008,120.0,,,Combination,0.0
201011020036,1.0,,3.0,Hostage(s) killed (not during rescue attempt),0.0
201011030007,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201011030012,2.0,,6.0,Hostage(s) killed (not during rescue attempt),0.0
201011040009,3.0,,34.0,Hostage(s) released by perpetrators,3.0
201011040013,1.0,,,,
201011040016,1.0,,1879.0,Hostage(s) released by perpetrators,1.0
201011050006,2.0,,2.0,Combination,1.0
201011060003,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
201011070004,1.0,,,,
201011070007,7.0,,,,
201011070011,1.0,,,,
201011080002,2.0,,,,
201011080010,2.0,,12.0,Hostage(s) released by perpetrators,2.0
201011080018,5.0,,,,
201011100012,11.0,,,,
201011110021,1.0,,5.0,Successful Rescue,1.0
201011130004,3.0,,,,
201011140009,,,,,
201011140010,1.0,,,,
201011140014,1.0,,6.0,Hostage(s) released by perpetrators,1.0
201011150018,2.0,,,Combination,1.0
201011200004,7.0,,,,
201011200006,,,,Successful Rescue,
201011200010,1.0,,,Hostage(s) killed (not during rescue attempt),0.0
201011210012,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
201011220008,2.0,,10.0,Hostage(s) released by perpetrators,2.0
201011230013,10.0,,,,
201011250006,,,,Hostage(s) released by perpetrators,
201011260009,1.0,,1.0,Hostage(s) released by perpetrators,1.0
