eventid,gname
201204210006,Revolutionary Armed Forces of Colombia (FARC)
201204210007,Maoists
201204210008,Taliban
201204210010,Al-Qaida in the Arabian Peninsula (AQAP)
201204210018,Communist Party of India - Maoist (CPI-Maoist)
201204210019,Maoists
201204220007,Taliban
201204220009,Revolutionary Armed Forces of Colombia (FARC)
201204220016,Al-Qaida in the Arabian Peninsula (AQAP)
201204220020,Taliban
201204230010,Maoists
201204240001,Taliban
201204240003,Lashkar-e-Balochistan
201204240005,Al-Nusrah Front
201204240014,Baloch Republican Army (BRA)
201204240024,Al-Shabaab
201204240025,Maoists
201204240036,Alex Boncayao Brigade (ABB)
201204250004,Separatists
201204250013,New People's Army (NPA)
201204250020,Boko Haram
201204250021,Maoists
201204250027,Garo National Liberation Army
201204250029,Boko Haram
201204250030,Boko Haram
201204250031,Boko Haram
201204250034,Taliban
201204260002,Oglaigh na hEireann
201204260003,Al-Qaida in the Arabian Peninsula (AQAP)
201204260004,Boko Haram
201204260005,Boko Haram
201204260010,Taliban
201204260024,Taliban
201204260029,Boko Haram
201204260030,Maoists
201204260033,Garo National Liberation Army
201204270002,Revolutionary Armed Forces of Colombia (FARC)
201204270008,Taliban
201204270010,Al-Nusrah Front
201204270020,Al-Shabaab
201204270022,Oglaigh na hEireann
201204270029,Maoists
201204270034,Al-Shabaab
201204270037,Taliban
201204270038,Taliban
201204270039,New People's Army (NPA)
201204280002,Taliban
201204280003,Al-Qaida in the Arabian Peninsula (AQAP)
201204280004,Taliban
201204280006,Muslim extremists
201204280007,Revolutionary Armed Forces of Colombia (FARC)
201204280011,Al-Shabaab
201204280018,Kachin Independence Army (KIA)
201204280026,Taliban
201204290001,Boko Haram
201204290002,Taliban
201204290012,Taliban
201204290013,Bangladesh Nationalist Party (BNP)
201204290014,Pro Hartal Activists
201204290015,Al-Shabaab
201204290017,Boko Haram
201204290024,Taliban
201204300004,Boko Haram
201204300010,Janatantrik Terai Mukti Morcha- Rajan Mukti (JTMM-R)
201204300010,Samyukta Jatiya Mukti Morcha (SJMM)
201204300013,Boko Haram
201204300017,New People's Army (NPA)
201204300027,Taliban
201204300035,Dissident Republicans
201205010001,Al-Shabaab
201205010007,Lashkar-e-Islam (Pakistan)
201205010008,Tehrik-i-Taliban Pakistan (TTP)
201205010012,Al-Qaida in the Arabian Peninsula (AQAP)
201205010018,Taliban
201205020001,Taliban
201205020002,Al-Shabaab
201205020003,New People's Army (NPA)
201205020007,Maoists
201205020008,Garo National Liberation Army
201205020011,Hizbul Mujahideen (HM)
201205020012,Sindhu Desh Liberation Army (SDLA)
201205020013,Sindhu Desh Liberation Army (SDLA)
201205020014,Sindhu Desh Liberation Army (SDLA)
201205020015,Sindhu Desh Liberation Army (SDLA)
201205020016,Sindhu Desh Liberation Army (SDLA)
201205020017,Sindhu Desh Liberation Army (SDLA)
201205020018,Sindhu Desh Liberation Army (SDLA)
201205020019,Sindhu Desh Liberation Army (SDLA)
201205020020,Sindhu Desh Liberation Army (SDLA)
201205020021,Sindhu Desh Liberation Army (SDLA)
201205020022,Sindhu Desh Liberation Army (SDLA)
201205020023,Sindhu Desh Liberation Army (SDLA)
201205020024,Sindhu Desh Liberation Army (SDLA)
201205020025,Sindhu Desh Liberation Army (SDLA)
201205020026,Sindhu Desh Liberation Army (SDLA)
201205020027,Sindhu Desh Liberation Army (SDLA)
201205020028,Sindhu Desh Liberation Army (SDLA)
201205020029,Sindhu Desh Liberation Army (SDLA)
201205020030,Sindhu Desh Liberation Army (SDLA)
201205020031,Sindhu Desh Liberation Army (SDLA)
201205020034,Sindhu Desh Liberation Army (SDLA)
201205020040,Al-Qaida in Iraq
201205020042,Al-Qaida in the Arabian Peninsula (AQAP)
201205020048,Maoists
201205020052,Kamtapur Liberation Organization (KLO)
201205030001,Caucasus Emirate
201205030002,Caucasus Emirate
201205030007,Tehrik-i-Taliban Pakistan (TTP)
201205030008,Separatists
201205030009,Boko Haram
201205030010,Boko Haram
201205030015,Taliban
201205030016,Taliban
201205030018,Taliban
201205030025,Al-Shabaab
201205040001,Tehrik-i-Taliban Pakistan (TTP)
201205040008,Kurdistan Workers' Party (PKK)
201205040010,Al-Shabaab
201205040013,Maoists
201205040019,Taliban
201205040020,Taliban
201205040021,Taliban
201205040031,Taliban
201205040034,Al-Qaida in the Islamic Maghreb (AQIM)
201205040034,Ansar al-Dine (Mali)
201205050008,Al-Qaida in the Islamic Maghreb (AQIM)
201205050009,Free Syrian Army
201205050018,Kurdistan Workers' Party (PKK)
201205050019,Kachin Independence Army (KIA)
201205050028,Revolutionary Armed Forces of Colombia (FARC)
201205050029,Taliban
201205060003,Tehrik-i-Taliban Pakistan (TTP)
201205060007,Taliban
201205060008,Taliban
201205060019,Taliban
201205070004,Al-Qaida in the Islamic Maghreb (AQIM)
201205070011,Informal Anarchist Federation
201205070014,Taliban
201205070018,National Liberation Front of Tripura (NLFT)
201205080002,Lashkar-e-Jhangvi
201205080003,Taliban
201205080004,Taliban
201205080012,Al-Qaida in the Islamic Maghreb (AQIM)
201205080013,Al-Qaida in the Islamic Maghreb (AQIM)
201205080014,Al-Qaida in the Islamic Maghreb (AQIM)
201205080015,Maoists
201205080016,Al-Qaida in the Arabian Peninsula (AQAP)
201205080021,Taliban
201205080026,Taliban
201205080027,Al-Shabaab
201205090002,Tehrik-i-Taliban Pakistan (TTP)
201205090003,Tehrik-i-Taliban Pakistan (TTP)
201205090013,Maoists
201205090016,Taliban
201205090022,Taliban
201205090028,Tehrik-i-Taliban Pakistan (TTP)
201205090031,Revolutionary Armed Forces of Colombia (FARC)
201205100001,Al-Nusrah Front
201205100003,Force Etudiante Critique
201205100006,Taliban
201205100007,Taliban
201205100008,Taliban
201205100010,Madhesi Mukti Tigers (MMT)
201205100011,Al-Shabaab
201205100014,Taliban
201205100015,Boko Haram
201205100019,Taliban
201205100020,Taliban
201205100021,Taliban
201205100023,Revolutionary Armed Forces of Colombia (FARC)
201205110004,Maoists
201205110007,Taliban
201205110008,Al-Shabaab
201205110011,Tribesmen
201205110012,Maoists
201205110017,Boko Haram
201205110018,Taliban
201205110038,Corsican National Liberation Front (FLNC)
201205110039,Corsican National Liberation Front (FLNC)
201205110040,Corsican National Liberation Front (FLNC)
201205110041,Corsican National Liberation Front (FLNC)
201205110042,Corsican National Liberation Front (FLNC)
201205110043,Corsican National Liberation Front (FLNC)
201205110044,Corsican National Liberation Front (FLNC)
201205110045,Corsican National Liberation Front (FLNC)
201205110046,Corsican National Liberation Front (FLNC)
201205110047,Corsican National Liberation Front (FLNC)
201205110048,Corsican National Liberation Front (FLNC)
201205110049,Corsican National Liberation Front (FLNC)
201205110050,Corsican National Liberation Front (FLNC)
201205110051,Corsican National Liberation Front (FLNC)
201205110052,Corsican National Liberation Front (FLNC)
201205110053,Corsican National Liberation Front (FLNC)
201205110054,Corsican National Liberation Front (FLNC)
201205110055,Corsican National Liberation Front (FLNC)
201205110056,Corsican National Liberation Front (FLNC)
201205110057,Corsican National Liberation Front (FLNC)
201205110058,Corsican National Liberation Front (FLNC)
201205110059,Corsican National Liberation Front (FLNC)
201205110060,Corsican National Liberation Front (FLNC)
201205110061,Corsican National Liberation Front (FLNC)
201205110062,Corsican National Liberation Front (FLNC)
201205110063,Corsican National Liberation Front (FLNC)
201205120001,Tehrik-i-Taliban Pakistan (TTP)
201205120004,Garo National Liberation Army
201205120006,Taliban
201205120008,Al-Qaida in the Arabian Peninsula (AQAP)
201205120009,Separatists
201205120011,Al-Qaida in the Arabian Peninsula (AQAP)
201205120012,Boko Haram
201205120015,Taliban
201205120023,Informal Anarchist Federation
201205120024,Al-Shabaab
201205130001,Maoists
201205130002,Tehrik-i-Taliban Pakistan (TTP)
201205130011,Al-Qaida in the Arabian Peninsula (AQAP)
201205130012,Mahaz Fedai Tahrik Islami Afghanistan
201205130017,Maoists
201205130018,Maoists
201205130027,Boko Haram
201205130033,Taliban
201205130034,Kurdistan Workers' Party (PKK)
201205140002,Baloch Republican Army (BRA)
201205140003,Tehrik-i-Taliban Pakistan (TTP)
201205140004,Tehrik-i-Taliban Pakistan (TTP)
201205140006,Runda Kumpulan Kecil (RKK)
201205140008,Taliban
201205140014,Boko Haram
201205140028,Taliban
201205140029,Taliban
201205140030,Al-Qaida in the Arabian Peninsula (AQAP)
201205140031,United Liberation Front of Assam (ULFA)
201205140032,Communist Party of India - Maoist (CPI-Maoist)
201205140034,Taliban
201205140035,Taliban
201205140036,Taliban
201205140038,Taliban
201205140041,Shiv Sena
201205140042,Taliban
201205140044,Maoists
201205140045,Maoists
201205140046,Communist Party of India - Maoist (CPI-Maoist)
201205140047,Taliban
201205140050,Democratic Front for the Liberation of Rwanda (FDLR)
201205140051,Friends of Loukanikos
201205150001,Al-Shabaab
201205150002,Al-Shabaab
201205150005,Lashkar-e-Jhangvi
201205150006,Taliban
201205150018,Lashkar-e-Jhangvi
201205150019,Al-Qaida in the Arabian Peninsula (AQAP)
201205150021,Revolutionary Armed Forces of Colombia (FARC)
201205150022,Taliban
201205150032,Maoists
201205160001,Revolutionary Armed Forces of Colombia (FARC)
201205160003,Communist Party of India - Maoist (CPI-Maoist)
201205160004,Boko Haram
201205160005,Boko Haram
201205160019,Taliban
201205160020,Taliban
201205160022,Baloch Republican Army (BRA)
201205160023,Maoists
201205160027,Telangana Separatists
201205160030,Taliban
201205160031,Taliban
201205160032,Taliban
201205170002,Taliban
201205170004,United Liberation Front of Assam (ULFA)
201205170005,Maoists
201205170006,"Liberation Army for Presevo, Medvedja and Bujanovac (UCPMB)"
201205170008,Lashkar-e-Taiba (LeT)
201205170022,Taliban
201205180003,Boko Haram
201205180008,Taliban
201205180009,Kurdistan Workers' Party (PKK)
201205180011,Maoists
201205180015,Islami Jamiat-e-Talaba (IJT)
201205180016,Islami Jamiat-e-Talaba (IJT)
201205190001,Taliban
201205190004,Maoists
201205190005,Hizbul Mujahideen (HM)
201205190006,Lashkar-e-Jhangvi
201205190010,Al-Qaida in the Arabian Peninsula (AQAP)
201205190011,Kurdistan Workers' Party (PKK)
201205190012,Al-Shabaab
201205190017,Al-Shabaab
201205190020,Maoists
201205190021,Kachin Independence Army (KIA)
201205190022,Revolutionary Armed Forces of Colombia (FARC)
201205190023,Maoists
201205190024,Mullah Dadullah Front
201205190026,Maoists
201205190029,United People's Democratic Front (UPDF) - Bangladesh
201205200001,Taliban
201205200004,Al-Shabaab
201205200008,New People's Army (NPA)
201205200010,Taliban
201205200011,Kachin Independence Army (KIA)
201205200013,Boko Haram
201205200023,United People's Democratic Front (UPDF) - Bangladesh
201205200024,Anti-Abortion extremists
201205200025,White supremacists/nationalists
201205210005,Al-Shabaab
201205210008,Boko Haram
201205210025,Hizb-I-Islami
201205210026,Taliban
201205210027,Taliban
201205220001,Kurdistan Workers' Party (PKK)
201205220004,Moro Islamic Liberation Front (MILF)
201205220009,Taliban
201205220013,Brigades of Imprisoned Sheikh Omar Abdel-Rahman
201205220019,Free Syrian Army
201205220022,Taliban
201205220027,Informal Anarchist Federation
201205220029,Awami League
201205220032,Taliban
201205220033,Taliban
201205220035,Maoists
201205230002,Taliban
201205230007,Maoists
201205230024,Maoists
201205230033,Taliban
201205230034,Anti-Abortion extremists
201205240004,New People's Army (NPA)
201205240026,Taliban
201205250001,Kurdistan Workers' Party (PKK)
201205250002,Taliban
201205250003,Sindhu Desh Liberation Army (SDLA)
201205250005,Al-Qaida in the Arabian Peninsula (AQAP)
201205250007,Taliban
201205250008,Telangana Separatists
201205250009,United Liberation Front of Assam (ULFA)
201205250011,Al-Qaida in the Arabian Peninsula (AQAP)
201205250015,Al-Qaida in the Arabian Peninsula (AQAP)
201205250019,Lashkar-e-Islam (Pakistan)
201205260001,Al-Shabaab
201205260002,Al-Shabaab
201205260004,United Baloch Army (UBA)
201205260005,United Baloch Army (UBA)
201205260007,Baloch Liberation Army (BLA)
201205260010,Boko Haram
201205260024,Taliban
201205270001,United Baloch Army (UBA)
201205270005,Maoists
201205270014,Taliban
201205270016,Taliban
201205280001,Taliban
201205280002,Taliban
201205280003,Al-Shabaab
201205280005,Taliban
201205280010,Taliban
201205280022,Tehrik-i-Taliban Pakistan (TTP)
201205280033,Tehrik-i-Taliban Pakistan (TTP)
201205280034,Taliban
201205290001,Al-Shabaab
201205290003,Al-Shabaab
201205290004,Taliban
201205290008,United Liberation Front of Assam (ULFA)
201205290011,Taliban
201205290012,Taliban
201205290023,Taliban
201205290027,Garo National Liberation Army
201205290027,United Liberation Front of Assam (ULFA)
201205290032,Kurdistan Workers' Party (PKK)
201205290033,Free Papua Movement (OPM-Organisasi Papua Merdeka)
201205290034,Shining Path (SL)
201205300003,Al-Shabaab
201205300004,Islamic Front
201205300016,New People's Army (NPA)
201205300020,Nepalbad Party
201205300023,Taliban
201205310002,Taliban
201205310003,Taliban
201205310005,Communist Party of India - Maoist (CPI-Maoist)
201205310006,Boko Haram
201205310009,Government Supporters
201205310018,Kurdistan Workers' Party (PKK)
201205310023,Tehrik-i-Taliban Pakistan (TTP)
201205310025,Bedouin tribesmen
201205310029,Taliban
201205310031,Knights Templar (Caballeros Templarios)
201206010024,Boko Haram
201206010025,Taliban
201206010027,Taliban
201206020002,Republican Action Against Drugs (RAAD)
201206020004,Maoists
201206020008,Kurdistan Workers' Party (PKK)
201206020023,Revolutionary Armed Forces of Colombia (FARC)
201206020029,Maoists
201206030001,Taliban
201206030002,People's Revolutionary Party of Kangleipak (PREPAK)
201206030003,Boko Haram
201206030017,Revolutionary Armed Forces of Colombia (FARC)
201206030021,Justice and Equality Movement (JEM)
201206030027,Al-Shabaab
201206040004,Al-Qaida in Iraq
201206040008,United People's Democratic Front (UPDF) - Bangladesh
201206040009,Al-Qaida in the Arabian Peninsula (AQAP)
201206040010,Al-Qaida in the Arabian Peninsula (AQAP)
201206040011,Free Papua Movement (OPM-Organisasi Papua Merdeka)
201206040013,New People's Army (NPA)
201206040016,Lashkar-e-Islam (Pakistan)
201206040028,Maoists
201206040030,Abu Sayyaf Group (ASG)
201206050001,Boko Haram
201206050003,Taliban
201206050005,Taliban
201206050007,Brigades of Imprisoned Sheikh Omar Abdel-Rahman
201206050008,Revolutionary Armed Forces of Colombia (FARC)
201206050009,Al-Qaida in the Arabian Peninsula (AQAP)
201206050011,Taliban
201206050023,Communist Party of India- Marxist
201206050026,Taliban
201206050027,Taliban
201206050029,Taliban
201206050030,Taliban
201206050031,Taliban
201206050033,Maoists
201206050035,Muslim extremists
201206060001,Taliban
201206060002,Taliban
201206060004,Revolutionary Armed Forces of Colombia (FARC)
201206060005,Oglaigh na hEireann
201206060007,Kurdistan Workers' Party (PKK)
201206060021,Al-Qaida in the Arabian Peninsula (AQAP)
201206060025,Al-Qaida in the Arabian Peninsula (AQAP)
201206060026,Communist Party of India - Maoist (CPI-Maoist)
201206060027,Taliban
201206060037,Maoists
201206070004,Taliban
201206070007,Al-Qaida in the Arabian Peninsula (AQAP)
201206070012,Shining Path (SL)
201206070024,Communist Party of India- Marxist
201206070029,Taliban
201206070031,Taliban
201206070033,Taliban
201206080001,Tehrik-i-Taliban Pakistan (TTP)
201206080003,Boko Haram
201206080004,Boko Haram
201206080007,Taliban
201206080010,Gbagbo Loyalists
201206080014,Ingush Rebels
201206080015,Al-Shabaab
201206080018,New People's Army (NPA)
201206080021,Kurdistan Workers' Party (PKK)
201206080022,Taliban
201206080024,Communist Party of India - Maoist (CPI-Maoist)
201206080025,Communist Party of India - Maoist (CPI-Maoist)
201206080026,Communist Party of India - Maoist (CPI-Maoist)
201206080027,Communist Party of India - Maoist (CPI-Maoist)
201206080028,Communist Party of India - Maoist (CPI-Maoist)
201206080029,Communist Party of India - Maoist (CPI-Maoist)
201206080030,Communist Party of India - Maoist (CPI-Maoist)
201206080031,Communist Party of India - Maoist (CPI-Maoist)
201206080032,Communist Party of India - Maoist (CPI-Maoist)
201206080033,Communist Party of India - Maoist (CPI-Maoist)
201206080034,Communist Party of India - Maoist (CPI-Maoist)
201206080035,Communist Party of India - Maoist (CPI-Maoist)
201206080036,Communist Party of India - Maoist (CPI-Maoist)
201206080038,Maoists
201206090004,Taliban
201206090023,Taliban
201206100001,Maoists
201206100002,Maoists
201206100003,Boko Haram
201206100004,Boko Haram
201206100007,United Baloch Army (UBA)
201206100008,Muslim extremists
201206100014,Karbi People's Liberation Tigers (KPLT)
201206100018,Taliban
201206100021,Maoists
201206100022,Maoists
201206110009,Taliban
201206110012,Taliban
201206110013,Taliban
201206110014,Taliban
201206110022,Maoists
201206110024,Lashkar-e-Islam (Pakistan)
201206110026,Taliban
201206110027,Communist Party of India - Maoist (CPI-Maoist)
201206110028,Al-Qaida in the Arabian Peninsula (AQAP)
201206110029,Taliban
201206110031,Maoists
201206110032,Lashkar-e-Islam (Pakistan)
201206110033,Boko Haram
201206110041,Taliban
201206110042,Communist Party of India - Maoist (CPI-Maoist)
201206110043,Communist Party of India - Maoist (CPI-Maoist)
201206110044,Communist Party of India - Maoist (CPI-Maoist)
201206110045,Oglaigh na hEireann
201206110049,Taliban
201206110050,Maoists
201206120003,Boko Haram
201206120004,Taliban
201206120005,Taliban
201206120008,Abu Sayyaf Group (ASG)
201206120013,Devrimici Halk Kurtulus Cephesi (DHKP/C)
201206120014,Brigades of Imprisoned Sheikh Omar Abdel-Rahman
201206120018,Taliban
201206130005,Al-Qaida in the Arabian Peninsula (AQAP)
201206130006,Al-Qaida in Iraq
201206130007,Al-Qaida in Iraq
201206130008,Al-Qaida in Iraq
201206130009,Al-Qaida in Iraq
201206130010,Al-Qaida in Iraq
201206130011,Al-Qaida in Iraq
201206130012,Al-Qaida in Iraq
201206130013,Al-Qaida in Iraq
201206130014,Al-Qaida in Iraq
201206130015,Al-Qaida in Iraq
201206130016,Al-Qaida in Iraq
201206130017,Al-Qaida in Iraq
201206130018,Al-Qaida in Iraq
201206130019,Al-Qaida in Iraq
201206130020,Al-Qaida in Iraq
201206130021,Al-Qaida in Iraq
201206130022,Al-Qaida in Iraq
201206130023,Al-Qaida in Iraq
201206130024,Al-Qaida in Iraq
201206130025,Al-Qaida in Iraq
201206130026,Al-Qaida in Iraq
201206130028,Al-Qaida in Iraq
201206130029,Al-Qaida in Iraq
201206130030,Al-Qaida in Iraq
201206130036,Taliban
201206130038,Al-Qaida in Iraq
201206130041,Zetas
201206140003,United Liberation Front of Assam (ULFA)
201206140005,Al-Qaida in the Arabian Peninsula (AQAP)
201206140011,Taliban
201206140017,Taliban
201206140021,United Baloch Army (UBA)
201206140022,United Baloch Army (UBA)
201206140023,Taliban
201206140024,Taliban
201206150002,Taliban
201206150006,Bedouin tribesmen
201206150016,Taliban
201206150019,Garo National Liberation Army
201206150023,New People's Army (NPA)
201206150030,Garo National Liberation Army
201206160001,Tehrik-i-Taliban Pakistan (TTP)
201206160004,Al-Qaida in Iraq
201206160005,Al-Qaida in Iraq
201206160006,Taliban
201206160014,Baloch Liberation Army (BLA)
201206160016,Taliban
201206170001,Revolutionary Armed Forces of Colombia (FARC)
201206170002,Boko Haram
201206170003,Boko Haram
201206170004,Boko Haram
201206170006,Al-Qaida in the Arabian Peninsula (AQAP)
201206170021,People's Amn Committee
201206170024,Taliban
201206180001,Al-Qaida in Iraq
201206180002,Lashkar-e-Jhangvi
201206180005,Taliban
201206180009,Boko Haram
201206180011,Boko Haram
201206180012,Boko Haram
201206180013,Palestinian Islamic Jihad (PIJ)
201206180013,Mujahedeen Shura Council in the Environs of Jerusalem
201206180017,Taliban
201206180023,Taliban
201206180024,Taliban
201206180029,Sovereign Citizen
201206190004,Israeli extremists
201206190005,Revolutionary Armed Forces of Colombia (FARC)
201206190007,Separatists
201206190010,Taliban
201206190013,Al-Qaida in the Arabian Peninsula (AQAP)
201206190014,Taliban
201206190019,Taliban
201206190020,Boko Haram
201206190025,Taliban
201206190026,Taliban
201206190031,Taliban
201206190034,Jihadi-inspired extremists
201206200002,Revolutionary Armed Forces of Colombia (FARC)
201206200003,Revolutionary Armed Forces of Colombia (FARC)
201206200007,Taliban
201206200008,Taliban
201206200010,Maoists
201206200021,Boko Haram
201206200024,Baloch Republican Army (BRA)
201206210003,Taliban
201206210021,Baloch Nationalists
201206210022,Taliban
201206210025,Al-Shabaab
201206220009,Free Syrian Army
201206220015,Taliban
201206220016,Taliban
201206220017,Taliban
201206220030,Taliban
201206220031,Taliban
201206220037,Allied Democratic Forces (ADF)
201206230004,Separatists
201206230006,Al-Shabaab
201206230008,Taliban
201206230014,Taliban
201206230016,Kurdistan Workers' Party (PKK)
201206230023,Taliban
201206240001,Al-Shabaab
201206240004,Taliban
201206240005,Taliban
201206240013,Boko Haram
201206240014,Taliban
201206240024,Taliban
201206250011,Kurdistan Workers' Party (PKK)
201206250012,New People's Army (NPA)
201206250013,Maoists
201206250015,Lashkar-e-Islam (Pakistan)
201206250015,Tehrik-i-Taliban Pakistan (TTP)
201206250018,Taliban
201206250021,Taliban
201206250023,Al-Shabaab
201206250025,Taliban
201206250026,Taliban
201206260003,Separatists
201206260004,Runda Kumpulan Kecil (RKK)
201206260006,Taliban
201206260008,Boko Haram
201206260009,Boko Haram
201206260010,Boko Haram
201206260011,Boko Haram
201206260012,Boko Haram
201206260017,Maoists
201206260018,Taliban
201206260035,Taliban
201206260038,Azawad National Liberation Movement (MNLA)
201206270002,International Revolutionary Front
201206270006,Taliban
201206270007,Taliban
201206270008,Taliban
201206270009,Al-Nusrah Front
201206270016,Izberbash Gang
201206270035,Taliban
201206270042,Taliban
201206270044,Maoists
201206270045,Taliban
201206280001,Lashkar-e-Jhangvi
201206280017,Al-Qaida in Iraq
201206280027,Al-Qaida in Iraq
201206280028,Communist Party of India - Maoist (CPI-Maoist)
201206280031,Southern Mobility Movement (Yemen)
201206280033,Fulani extremists
201206280045,Taliban
201206280048,Communist Party of India - Maoist (CPI-Maoist)
201206290001,Taliban
201206290004,Movement for Oneness and Jihad in West Africa (MUJAO)
201206290006,Al-Shabaab
201206290007,Uighur Separatists
201206290008,Taliban
201206290009,Taliban
201206290010,Separatists
201206290011,Al-Shabaab
201206290017,Communist Party of India - Maoist (CPI-Maoist)
201206290019,Al-Qaida in Iraq
201206290030,Taliban
201206300001,Taliban
201206300004,Al-Shabaab
201206300005,Ansar al-Dine (Mali)
201206300016,Taliban
201206300017,Taliban
201206300021,New People's Army (NPA)
201207010001,Al-Shabaab
201207010002,Al-Shabaab
201207010003,Taliban
201207010005,Lashkar-e-Taiba (LeT)
201207010010,Taliban
201207010011,Maoists
201207010015,Al-Qaida in Iraq
201207020001,Ansar al-Dine (Mali)
201207020002,Taliban
201207020004,Boko Haram
201207020008,Partido Marxista-Leninista ng Pilipinas (PMLP)
201207020012,Sindh Liberation Front
201207020013,Sindh Liberation Front
201207020014,Hynniewtrep National Liberation Council (HNLC)
201207020022,Corsican National Liberation Front (FLNC)
201207020023,Al-Qaida in the Arabian Peninsula (AQAP)
201207030001,Al-Qaida in Iraq
201207030006,Revolutionary Armed Forces of Colombia (FARC)
201207030029,Kurdistan Workers' Party (PKK)
201207030030,Kurdistan Workers' Party (PKK)
201207030031,Baloch Liberation Army (BLA)
201207040002,Maoists
201207040003,Kangleipak Communist Party (KCP)
201207040004,Tehrik-i-Taliban Pakistan (TTP)
201207040006,Revolutionary Armed Forces of Colombia (FARC)
201207040010,Taliban
201207040012,Taliban
201207040020,Lashkar-e-Jhangvi
201207040022,Revolutionary Armed Forces of Colombia (FARC)
201207040023,New People's Army (NPA)
201207040024,New People's Army (NPA)
201207040025,Al-Qaida in the Arabian Peninsula (AQAP)
201207040032,Anti-Muslim extremists
201207050023,New People's Army (NPA)
201207050024,Kurdistan Workers' Party (PKK)
201207060001,Baloch Liberation Tigers (BLT)
201207060021,Taliban
201207070002,Baloch Liberation Army (BLA)
201207070006,Maoists
201207070013,Kurdistan Workers' Party (PKK)
201207070015,Taliban
201207070016,Taliban
201207070021,Boko Haram
201207070022,Boko Haram
201207070023,Boko Haram
201207070024,Boko Haram
201207070029,Akhil Terai Mukti Morcha (ATMM)
201207080001,Revolutionary Armed Forces of Colombia (FARC)
201207080004,Taliban
201207080005,Taliban
201207080006,Taliban
201207080007,Taliban
201207080008,Taliban
201207080010,Taliban
201207080011,Maoists
201207080014,Boko Haram
201207080014,Fulani extremists
201207080016,Boko Haram
201207080017,Boko Haram
201207080027,Taliban
201207080029,Boko Haram
201207080033,Revolutionary Armed Forces of Colombia (FARC)
201207080034,Revolutionary Armed Forces of Colombia (FARC)
201207090001,Tehrik-i-Taliban Pakistan (TTP)
201207090003,Taliban
201207090004,Taliban
201207090005,Taliban
201207090006,Taliban
201207090009,Maoists
201207090011,Revolutionary Armed Forces of Colombia (FARC)
201207090015,Muslim extremists
201207100002,Taliban
201207100011,Maoists
201207100012,Revolutionary Armed Forces of Colombia (FARC)
201207100013,Revolutionary Armed Forces of Colombia (FARC)
201207110001,Al-Qaida in the Arabian Peninsula (AQAP)
201207110004,Lashkar-e-Balochistan
201207110011,Abu Sayyaf Group (ASG)
201207110012,Taliban
201207110013,Communist Party of India - Maoist (CPI-Maoist)
201207110020,Taliban
201207110021,Lashkar-e-Jhangvi
201207120001,Tehrik-i-Taliban Pakistan (TTP)
201207120004,Al-Shabaab
201207120008,Tehrik-i-Taliban Pakistan (TTP)
201207130001,Tehrik-i-Taliban Pakistan (TTP)
201207130002,Boko Haram
201207130006,Taliban
201207130007,Runda Kumpulan Kecil (RKK)
201207130016,Runda Kumpulan Kecil (RKK)
201207130017,Runda Kumpulan Kecil (RKK)
201207130018,Runda Kumpulan Kecil (RKK)
201207130019,Runda Kumpulan Kecil (RKK)
201207130020,Runda Kumpulan Kecil (RKK)
201207130023,Taliban
201207130025,Maoists
201207140001,Taliban
201207140003,Kurdistan Workers' Party (PKK)
201207140007,Taliban
201207140008,Taliban
201207140009,Taliban
201207140010,Taliban
201207140016,Lashkar-e-Islam (Pakistan)
201207150001,Taliban
201207150004,Al-Qaida in the Arabian Peninsula (AQAP)
201207150010,Abu Sayyaf Group (ASG)
201207150012,Tehrik-i-Taliban Pakistan (TTP)
201207150031,Taliban
201207160001,Tehrik-i-Taliban Pakistan (TTP)
201207160002,Al-Shabaab
201207160006,Al-Shabaab
201207160009,Al-Qaida in the Arabian Peninsula (AQAP)
201207160012,Taliban
201207160013,Taliban
201207160014,Taliban
201207160015,Taliban
201207160024,Boko Haram
201207160027,Taliban
201207170001,Tehrik-i-Taliban Pakistan (TTP)
201207170015,Kurdistan Workers' Party (PKK)
201207170018,Kuki National Liberation Front (KNLF)
201207170024,Al-Nusrah Front
201207180001,Hezbollah
201207180002,Free Syrian Army
201207180002,Liwa al-Islam
201207180003,Taliban
201207180004,Tehrik-i-Taliban Pakistan (TTP)
201207180005,Al-Shabaab
201207180008,Al-Qaida in the Arabian Peninsula (AQAP)
201207180021,Maoists
201207180026,Al-Shabaab
201207190008,Separatists
201207190010,Taliban
201207190013,Al-Qaida in the Arabian Peninsula (AQAP)
201207190015,Taliban
201207190021,Boko Haram
201207190022,Al-Qaida in the Arabian Peninsula (AQAP)
201207190028,Taliban
201207190032,Tehrik-i-Taliban Pakistan (TTP)
201207200003,Taliban
201207200005,Maoists
201207200006,Revolutionary Armed Forces of Colombia (FARC)
201207200007,Revolutionary Armed Forces of Colombia (FARC)
201207200008,Revolutionary Armed Forces of Colombia (FARC)
201207200009,Revolutionary Armed Forces of Colombia (FARC)
201207200011,Taliban
201207200012,Tehrik-i-Taliban Pakistan (TTP)
201207200016,Secessionists
201207200017,New People's Army (NPA)
201207200020,Garo National Liberation Army
201207200024,Maoists
201207210002,Kurdistan Workers' Party (PKK)
201207210005,Tehrik-i-Taliban Pakistan (TTP)
201207210006,Tehrik-i-Taliban Pakistan (TTP)
201207210010,Revolutionary Armed Forces of Colombia (FARC)
