eventid,gname
199804300006,Algerian Islamic Extremists
199805010003,Irish Republican Army (IRA)
199805030001,Conscientious Arsonists (CA)
199805030002,Irish Republican Army (IRA)
199805040003,Animal Liberation Front (ALF)
199805050001,Conscientious Arsonists (CA)
199805060001,Basque Fatherland and Freedom (ETA)
199805070002,Algerian Islamic Extremists
199805070003,Armed Islamic Group (GIA)
199805080001,Hezbollah
199805080002,14 K Triad
199805090001,Irish Republican Army (IRA)
199805090002,Basque Fatherland and Freedom (ETA)
199805090004,Algerian Islamic Extremists
199805100004,Algerian Islamic Extremists
199805110001,14 K Triad
199805110002,14 K Triad
199805110003,14 K Triad
199805120001,Armed Islamic Group (GIA)
199805120002,National Liberation Army of Colombia (ELN)
199805120003,Irish National Liberation Army (INLA)
199805130001,Jewish Extremists
199805130002,Chechen Rebels
199805130003,Algerian Islamic Extremists
199805140001,Liberation Tigers of Tamil Eelam (LTTE)
199805170001,Liberation Tigers of Tamil Eelam (LTTE)
199805170005,November 17 Revolutionary Organization (N17RO)
199805170005,Fighting Guerrillas of May
199805170005,May 98
199805170006,Fighting Guerrillas of May
199805170006,May 98
199805170006,November 17 Revolutionary Organization (N17RO)
199805170007,Algerian Islamic Extremists
199805200001,Algerian Islamic Extremists
199805210007,National Liberation Army of Colombia (ELN)
199805210007,Revolutionary Armed Forces of Colombia (FARC)
199805220001,Armed Islamic Group (GIA)
199805260001,Armed Islamic Group (GIA)
199805270001,Armed Islamic Group (GIA)
199806020001,Mujahedin-e Khalq (MEK)
199806020002,Mujahedin-e Khalq (MEK)
199806020003,Mujahedin-e Khalq (MEK)
199806030001,Kurdistan Workers' Party (PKK)
199806030002,Kurdistan Workers' Party (PKK)
199806040001,Algerian Islamic Extremists
199806040002,Armed Islamic Group (GIA)
199806050001,Pattani United Liberation Organization (PULO)
199806090001,Macheteros
199806110001,Armed Islamic Group (GIA)
199806140002,Algerian Islamic Extremists
199806150001,Irish National Liberation Army (INLA)
199806170001,Algerian Islamic Extremists
199806190002,Algerian Islamic Extremists
199806200001,Lord's Resistance Army (LRA)
199806200002,Algerian Islamic Extremists
199806200003,Algerian Islamic Extremists
199806210004,Earth Liberation Front (ELF)
199806210004,Animal Liberation Front (ALF)
199806210005,Animal Liberation Front (ALF)
199806210005,Earth Liberation Front (ELF)
199806220002,Popular Revolutionary Army (Mexico)
199806240001,Irish National Liberation Army (INLA)
199806240003,Macheteros
199806250001,Basque Fatherland and Freedom (ETA)
199806250002,Armed Islamic Group (GIA)
199806270001,Anti-Environmentalists
199806270002,Algerian Islamic Extremists
199806290001,Revolutionary Nuclei
199807010001,Loyalist Volunteer Forces (LVF)
199807010002,Loyalist Volunteer Forces (LVF)
199807010003,Loyalist Volunteer Forces (LVF)
199807010004,Loyalist Volunteer Forces (LVF)
199807010005,Loyalist Volunteer Forces (LVF)
199807010006,Loyalist Volunteer Forces (LVF)
199807010007,Loyalist Volunteer Forces (LVF)
199807010008,Loyalist Volunteer Forces (LVF)
199807010009,Loyalist Volunteer Forces (LVF)
199807010010,Algerian Islamic Extremists
199807020002,Hezbollah
199807080001,Hutu extremists
199807100002,Real Irish Republican Army (RIRA)
199807110001,Liberation Tigers of Tamil Eelam (LTTE)
199807120004,Allied Democratic Forces (ADF)
199807120005,Allied Democratic Forces (ADF)
199807130001,Revolutionary Struggle
199807130002,Revolutionary Struggle
199807130003,Real Irish Republican Army (RIRA)
199807130006,Algerian Islamic Extremists
199807140001,Al-Gama'at al-Islamiyya (IG)
