eventid,attacktype
199803170003,Bombing/Explosion
199803170004,Armed Assault
199803180001,Bombing/Explosion
199803200001,Bombing/Explosion
199803200001,Hostage Taking (Kidnapping)
199803200001,Armed Assault
199803200002,Bombing/Explosion
199803210001,Armed Assault
199803210002,Armed Assault
199803220001,Armed Assault
199803220002,Bombing/Explosion
199803230001,Hostage Taking (Kidnapping)
199803230002,Armed Assault
199803230003,Hostage Taking (Kidnapping)
199803230004,Armed Assault
199803230004,Hostage Taking (Kidnapping)
199803240001,Bombing/Explosion
199803250001,Armed Assault
199803250001,Hostage Taking (Kidnapping)
199803260001,Bombing/Explosion
199803260092,Unarmed Assault
199803270001,Bombing/Explosion
199803270002,Armed Assault
199803270003,Hostage Taking (Kidnapping)
199803270003,Armed Assault
199803290001,Armed Assault
199803300001,Bombing/Explosion
199803310001,Bombing/Explosion
199803310002,Facility/Infrastructure Attack
199804010001,Bombing/Explosion
199804010002,Facility/Infrastructure Attack
199804020001,Bombing/Explosion
199804020002,Bombing/Explosion
199804020003,Hostage Taking (Kidnapping)
199804020003,Armed Assault
199804020004,Bombing/Explosion
199804030001,Armed Assault
199804040001,Bombing/Explosion
199804040002,Bombing/Explosion
199804050001,Armed Assault
199804050002,Armed Assault
199804060001,Bombing/Explosion
199804060002,Bombing/Explosion
199804060003,Bombing/Explosion
199804060004,Bombing/Explosion
199804060005,Bombing/Explosion
199804060006,Bombing/Explosion
199804060007,Facility/Infrastructure Attack
199804070001,Bombing/Explosion
199804080001,Bombing/Explosion
199804090001,Hostage Taking (Kidnapping)
199804090001,Armed Assault
199804090002,Armed Assault
199804090002,Hostage Taking (Kidnapping)
199804090003,Unarmed Assault
199804090004,Unarmed Assault
199804090005,Unarmed Assault
199804090006,Unarmed Assault
199804090007,Unarmed Assault
199804090008,Unarmed Assault
199804100001,Bombing/Explosion
199804100002,Armed Assault
199804130001,Assassination
199804130002,Bombing/Explosion
199804140001,Facility/Infrastructure Attack
199804140002,Bombing/Explosion
199804140003,Bombing/Explosion
199804140004,Bombing/Explosion
199804150001,Hostage Taking (Kidnapping)
199804160001,Bombing/Explosion
199804170001,Bombing/Explosion
199804180001,Armed Assault
199804190001,Bombing/Explosion
199804200001,Armed Assault
199804210001,Armed Assault
199804210002,Bombing/Explosion
199804220002,Armed Assault
199804220003,Bombing/Explosion
199804220004,Armed Assault
199804230001,Bombing/Explosion
199804240001,Bombing/Explosion
199804240002,Bombing/Explosion
199804240003,Armed Assault
199804250001,Armed Assault
199804250001,Bombing/Explosion
199804260001,Bombing/Explosion
199804280001,Bombing/Explosion
199804280002,Bombing/Explosion
199804280003,Bombing/Explosion
199804280004,Bombing/Explosion
199804290001,Bombing/Explosion
199804300001,Assassination
199804300001,Bombing/Explosion
199804300002,Bombing/Explosion
199804300003,Bombing/Explosion
199804300004,Armed Assault
199804300005,Armed Assault
199804300006,Bombing/Explosion
199805010001,Bombing/Explosion
199805010002,Hostage Taking (Kidnapping)
199805010003,Armed Assault
199805030001,Bombing/Explosion
199805030002,Bombing/Explosion
199805030003,Armed Assault
199805040001,Armed Assault
199805040001,Hostage Taking (Kidnapping)
199805040002,Armed Assault
199805040003,Facility/Infrastructure Attack
199805050001,Bombing/Explosion
199805050002,Armed Assault
199805050003,Armed Assault
199805050004,Armed Assault
199805050005,Bombing/Explosion
199805050006,Hostage Taking (Kidnapping)
199805060001,Assassination
199805070001,Armed Assault
199805070002,Bombing/Explosion
199805070003,Bombing/Explosion
199805080001,Bombing/Explosion
